Frase;Checavel?;Checagem;Fonte
Eu nasci em São Paulo, Quatá, na roça. Eleito com quase 80% dos votos no meu Estado.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Como governador, teria direito a uma aposentadoria teto, que me daria desses 27 anos até agora, 10 milhões de reais. Uma mega-sena.;SIM;Falso;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Abri mão também do auxílio moradia;SIM;Insustentável;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
À minha esquerda, eu tenho o Alckmin, com 46 anos de vida pública.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Um pouquinho além, eu tenho a deputada Marina, que, com todo respeito, tem 30 anos de vida pública.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Mais à frente, eu tenho o Bolsonaro, com 30 anos de vida pública.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Há quatro anos estávamos aqui e foi anunciado pela Band que a questão da criminalidade e mortes violentas estavam em torno de 59 mil ao ano. Chegamos nos dias de hoje com 63 mil pessoas assassinadas.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Quem tem jatinho e helicóptero, como alguns candidatos aqui, não pagam um real de imposto.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Hoje o Brasil tem 63 milhões de pessoas com nome sujo no SPC.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Consertar as contas públicas, e vou começar com as 7.507 obras que estão paradas,;SIM;Exagerado;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Só que, em boletim administrativo da Câmara dos Deputados de dezembro, ela estava de férias, do final de dezembro até o final de janeiro.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Veja, auxílio moradia com seis milhões de famílias sem casa no Brasil?;SIM;Insustentável;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
O seu partido, o PSDB, que o senhor preside, votou a favor da reforma trabalhista.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
O que nós tínhamos era um grande cartório, 17 mil sindicatos no Brasil. Aliás o mais estranho, é que são 11.500 trabalhadores e mais de cinco mil sindicatos patronais.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Isso era um verdadeiro cartório, mantido com imposto sindical. A maioria, inclusive, não fez nem convenção coletiva.;SIM;Verdadeiro;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Um carro no Brasil é muitas vezes mais caro que nos Estados Unidos, o minuto do celular, e o spread bancário é quatro vezes o mundo.;SIM;Impreciso;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Quanto às urnas eletrônicas, nós somos o único país onde não existe o voto impresso.;SIM;Falso;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
Deputado Jair Bolsonaro, infelizmente, a mortalidade infantil voltou a crescer.;SIM;Falso;https://aosfatos.org/noticias/as-checagens-do-debate-presidencial-da-band/
